State/UT,2017-18 - Primary,2017-18 - Upper Primary,2017-18 - Secondary,2018-19 - Primary,2018-19 - Upper Primary,2018-19 - Secondary,2019-20 - Primary,2019-20 - Upper Primary,2019-20 - Secondary
Andaman & Nicobar Islands,0.2,0,7.7,1,0,22.2,0.5,0,15.7
Andhra Pradesh,0,0.2,22.9,0,1.1,16.4,0,0.3,14.8
Arunachal Pradesh,8.1,7.2,19,13.8,6.7,36,6.2,7.5,34.3
Assam,10.1,5.4,33.7,3.1,1.9,31.5,4.3,3.4,32.3
Bihar,5.1,13.3,32.1,7.8,12.4,28.5,2.3,8.9,21.4
Chandigarh,0,0,0,0,0.4,4.5,0,0.3,4.7
Chhattisgarh,1.9,5,20.1,3.4,7,19.8,1,3.8,18.3
Dadra & Nagar Haveli,0.1,2.3,25.1,0,2.3,20.5,0,1.1,20.3
Daman & Diu,0.4,1.7,21.2,0,0.1,21.7,0,0,20
Delhi,0,1.6,17.5,0,1.1,14.9,0,0.1,13.8
Goa,0,0,7.3,1.5,0.9,9.4,0.3,0,10.2
Gujarat,1.7,7.5,20.6,2.3,7.4,23.8,1,5.2,23.7
Haryana,0,0.4,13.5,0,1.9,14.8,0,1.8,13.3
Himachal Pradesh,0,0.6,6.5,0.3,0.3,7.8,0.9,0.6,7.2
Jammu & Kashmir,2.9,1.2,3.4,6.7,6.3,17.8,3.9,3.2,16.7
Jharkhand,0,0,9.5,5.4,10.2,22.3,6.3,8.5,16.6
Karnataka,1.7,2.6,24.3,0,0.2,23.4,1.2,2.5,16.8
Kerala,0.1,0,12,0.2,0,9.1,0,0,7.9
Ladakh,NA,NA,NA,NA,NA,NA,0,0,0
Lakshadweep,0,1.8,5.5,0,0,4.6,0,0,6.7
Madhya Pradesh,4,6.4,24.2,3.3,5.9,24.9,0.8,4.1,23.2
Maharashtra,0.2,1.7,12.6,1.1,2.2,13.3,0,1.1,15.2
Manipur,3.4,0.5,6,6.1,3.4,13,8.8,4,9.2
Meghalaya,1.7,5.9,17.5,16.9,9.5,19.5,7,8,22.2
Mizoram,8,7,19.7,7.5,3.1,10.6,7.8,2.5,20.4
Nagaland,4.6,3.9,13.2,11.4,4.6,24.1,4.2,5.4,21.2
Odisha,5.8,5.4,28.3,3.4,5,9.5,0.8,4.5,23.6
Puducherry,3.2,1.9,17.5,0.6,0.1,12.7,0,0,7.9
Punjab,2.9,4,12.4,1.4,2.9,11.5,0,0,1.6
Rajasthan,3.4,2.8,10.5,5.2,3.8,12.7,2.9,1.5,12.3
Sikkim,0,0,16.1,5.4,1.1,23.7,0,0,23.2
Tamil Nadu,5.9,9.1,16.2,1.2,0.6,13,1.1,0.4,9.6
Telangana,3.5,2.6,17.1,1.9,2.9,13.5,0,0.1,12.3
Tripura,0.9,2.6,27.2,3.1,4.3,29.6,2,3.5,26.7
Uttar Pradesh,7.2,7.4,19,9.7,5.7,15.5,2.7,2.1,14.4
Uttarakhand,3.4,2.4,11.4,3.7,3.7,11,2.5,2.3,8.4
West Bengal,0.2,0,14.7,3.5,1.5,19.5,0.6,0,13.8
Total,3.5,5,18.9,4.5,4.7,17.9,1.5,2.6,16.1
